title_id	title_desc
1	Senior Machine Learning Engineer
2	"Principal Software Engineer, ML Accelerators"
3	Senior ETL Data Warehouse Specialist
4	Senior Data Warehouse Developer / Architect
5	Lead Data Engineer
6	Senior Data Engineer
7	"Manager, Cyber Risk & Analysis (Machine Learning)"
8	"Principal Associate, Data Loss Prevention (DLP) Engineer"
9	Senior Financial Data Analyst
10	Machine Learning Infrastructure Engineer
11	Sr. Workforce Management Data Analyst
12	Master Data Management - Data/Process Analyst
13	4 Corporate Associate Positions (AmLaw)
14	Sr. Database Administrator
15	Senior MLOps Engineer
16	Data Engineer Manager
17	Data Analyst Part Time
18	Summer 2024 Datacenter Hardware Validation Engineer Undergrad Co-Op/ Intern
19	Enterprise Data Manager/Product owner
20	IT Database Developer Senior - DBA Admin
21	Contractor - Epic Clarity Data Analyst - Revenue Cycle
22	Data Engineering Architect
23	"Staff Data Engineer, Fleet Analytics"
24	"Senior Data Engineer - Azure, Python, Scala, Spark"
25	"Senior Data Engineer, Public Company"
26	IT- Data Lifecycle Manager
27	"Lead Software Engineer, Full Stack (Enterprise Data)"
28	Senior Architect - Data Analytics Product Line
29	VCP Design to Value Project Manager and Data Analyst-MR
30	"Lead Data Engineer, (Python, Java or Scala)"
31	Data Scientist
32	Senior Data Analyst
33	Data Visualization / Business Intelligence Analyst (3019)
34	Senior Data Architect
35	"Data Quality Manager, FOOTBALL ASSOCIATION"
36	Senior ML Engineer
37	"Director, Ontology and Data Modeling"
38	Sr. Data Scientist
39	Sr. Data Engineer - ETL with Security Clearance
40	Assitant Vice President - Senior Database SME
41	Sr Analyst IT - Data Science
42	Electrical Data Center Project Manager
43	"Distinguished Engineer, Card Tech Data (Remote-Elligble)"
44	Quality Coach / IQA - IT and Data Apprenticeships
45	"Staff Data Scientist, Financial Strategy"
46	"Senior Counsel, Data Privacy and Cybersecurity"
47	Data Engineering Manager - San Antonio
48	Data Operations Manager
49	Configuration and CDRL Data Manager II/III (Top Secret)
50	"RDM Release Manager, Data Center and DMZ"
51	Superintendent - Data Center - Indianapolis
52	Sr. Data Engineer
53	RA/QA Post Market Data Analyst
54	Medical Laboratory Scientist MLS-MT - Incentive Eligible
55	Registered Nurse (RN) - Medical Laboratory Tech (MLT) - Per Diem at HealthTrust Workforce Solutions
56	"Sr ML Engineering Manager , Firefly App Integrations"
57	"Sales Representative, CoStar Data & Analytics - Washington D.C."
58	Data Warehouse Analyst
59	Data Manager
60	Medical Technologist MT or MLT
61	Data Analyst
62	Sr. Data Engineer (Hybrid)
63	"Technical Lead, Edge Data Center Operations"
64	Supply Chain Data Analyst
65	"Manager, Data Loss Prevention (DLP) Engineer (Symantec)"
66	Data Steward - Research Analysis Spec Sr
67	Laboratory Data Manager
68	Customer Service Representative/Data Analyst/Data Entry Clerk
69	Data Coordinator
70	"Senior Manager, Machine Learning Engineering"
71	Data Engineer
72	Audit Manager - Data/Tech (BSA/AML including Sanctions)
73	Business Data Analyst - III (701569)
74	"Data Center Project Manager, US-West CPI"
75	Clinical Data Steward
76	Senior Full-Stack Machine Learning Engineer- OPTIX
77	SR FIELD APPLICATION ENGINEER- DATA & DEVICES
78	Senior Data Analysis Engineer
79	Technical Data Engineering Manager
80	"Staff Machine Learning Engineer, Series A"
81	Contractor - Epic Clarity Data Analyst
82	Senior People Data Scientist
83	NCDHHS- Health Informatics Data Analyst
84	Data Center Ops Analyst
85	Senior Battery Data Scientist
86	Clinical Data Operator - Temp
87	"Lead Machine Learning Engineer (Bangkok based, relocation provided)"
88	Principal Machine Learning Engineer
89	Lead Data & Analytics Engineer
90	Volunteer: NHQ:IT - Enterprise Web Services - Code4Good Volunteer - Data Scientist
91	Lead Data Scientist
92	TT Assistant Professor - Data Science
93	Associate SAS Data Analyst (Placement)
94	"IIB, Datapower/APIC Lead Developer"
95	Senior Database Administrator
96	Database Engineer
97	Enrollment Management CRM & Data Specialist
98	"Summer Fellow - Project Management, Data Analytics, Strategy, Operations"
99	"Senior Data Scientist, Product Growth"
100	MLS Dayshift Lead - Short Pump Emergency Center
101	Azure Data Architect
102	Senior Marketing Data Operations Specialist
103	Clinical Data Analyst/Coordinator
104	Mechanical Supervisor - MLC 2312
105	Commissioning Senior Specialist - Data Center (Travel Required)
